,Review Title,Review Text,Preprocessed_Review_Text,After Spelling Correction,Sentiment_score,Sentiment_
0,Not FULLY Unlocked,Purchased this product advertised as fully unlocked. Inserted my sim card and it did not work. Contacted my service provider and they checked my IMEI number and it reported that the phone was still locked by the original carrier. Phone came in good condition just couldn't use any service provider.,purchas product advertis fulli unlock insert him card work contract servic provid check me number report phone still lock origin carrier phone came good condit couldn use servic provid,purchased product advertised fully unlocked inserted him card work contracted service provider checked me number reported phone still locked original carrier phone came good condition couldn use service provider,0.9896388053894043,NEGATIVE
1,"NOT EXPECTED, GREAT PURCHASE!",I was feeling a bit skeptical after I placed my order but I was proven wrong! The phone looks brand new besides some very minimal/ light scratches (almost impossible to notice) and the battery life is still at 100%. I also like that there was a screen protector on the phone,feel bit skeptic place order prove wrong phone look brand new besid minim light scratch almost imposs notic batteri life still 100 also like screen protector phone,feeling bit skeptically placed order prove wrong phone looks brand new besides minimal light scratches almost impossible notice battery life still 100 also like screen protector phone,0.995180606842041,NEGATIVE
2,Phone was NOT unlocked,Phone was not unlocked could it use it,phone unlock could use,phone unlocked could use,0.880246639251709,NEGATIVE
3,Terribly Flawed. Don’t waste your time.,The screen came cracked and popped out of the frame. Hopefully the return process goes smoothly.,screen came crack pop frame hope return process goe smoothli,screen came cracked popped frame hopefully return process goes smoothly,0.981319785118103,POSITIVE
4,Basically brand new!,"This is the best experience I have ever had with buying a renewed phone. The phone came in it’s original box with original charger and cable and the phone looks excellent, not one scratch on it absolutely beautiful and the battery health was at 100%. I definitely recommend the seller GoOverstock, as I will definitely be buying from them again.",best experi ever buy renew phone phone came origin box origin charg cabl phone look excel one scratch absolut beauti batteri health 100 definit recommend seller gooverstock definit buy,best experience ever buying renewed phone phone came original box original charge cable phone looks excellent one scratch absolutely beautiful battery health 100 definitely recommend seller gooverstock definitely buying,0.5772035717964172,NEGATIVE
5,Be careful used phones,Be careful mine had a scratch on screen very small but still 😢 their Used. People dont want used I phones with scratches,care mine scratch screen small still use peopl dont want use phone scratch,careful mine scratch screen small still used people dont want used phone scratches,0.9925582408905029,NEGATIVE
6,Best purchase this year,"I fought it for the longest time but I finally gave in and upgraded to the iPhone 11 from the iPhone 7. I looked other places online, but the price was way out of my price point. I felt comfortable buying this phone from Amazon because it was certified refurbished and I’m still happy that I did.",fought longest time final gave upgrad phone 11 phone 7 look place onlin price way price point felt comfort buy phone amazon terrifi refurbish in still happi,fought longest time finally gave upgrade phone 11 phone 7 looked places online price way price point felt comfortable buying phone amazon terrified refurbished in still happy,0.9941317439079285,NEGATIVE
7,wasn’t too happy with phone turning off a few times on its own once setting up.,The box didn’t come with ear phones. The phone kept turning off by itself after set up. Some apps had to be deleted before they’d quit shutting off on their own.,box didn come ear phone phone kept turn set ape delet they quit shut,box didn come ear phone phone kept turning set apes delete they quit shutting,0.998601496219635,NEGATIVE
8,So an amazing phone!,"                    The media could not be loaded.
                



 I just wanna tell everybody this is NOT A SCAM!!!! This phone is so amazing, great battery life, Face ID everything. Unfortunately mine didn’t come in an iPhone box but I was too much worried about that but it did come w/ a charger . Please get this phone  don’t let any of these reviews scare you! I will be doing a month review on this phone for more updates. Brand new and unlocked I’m paired with cricket so everything transferred over so easily!",medium could load anna tell everybodi scar phone amaz great batteri life face id everyth unfortun mine didn come phone box much worri come w charg plea get phone dont let review scare month review phone updat brand new unlock in hair cricket everyth transfer easili,media could loaded anna tell everybody scar phone amazing great battery life face id everything unfortunately mine didn come phone box much worried come w charge please get phone dont let reviews scare month review phone updated brand new unlocked in haired cricket everything transferred easily,0.9978318810462952,NEGATIVE
9,The iPhone review,"My iPhone came with a big scuff on the corner (aluminum frame)  and a small (not really noticible) scratch on the front and back of the phone. I got the 64 gb product red unlocked iPhone 11 which was, I believe a Verizon unlocked phone. My phone came in the iPhone 11 apple box with a original apple charger and original apple brick.  When I set up my phone I just put in my T-Mobile sim and the phone started working with my data. I did not need to get it activated or anything.",phone came big stuff corner aluminium frame small realli notic scratch front back phone got 64 go product red unlock phone 11 believ horizon unlock phone phone came phone 11 appl box origin appl charg origin appl brick set phone put mobil him phone start work data need get activ anyth,phone came big stuff corner aluminium frame small really noticeable scratch front back phone got 64 go product red unlocked phone 11 believe horizon unlocked phone phone came phone 11 apple box original apple charge original apple brick set phone put mobile him phone started working data need get activate anything,0.9921831488609314,NEGATIVE
10,Good buy,"Working well so far, looks new.",work well far look new,working well far looks new,0.9997376799583435,POSITIVE
11,My phone was damaged,"My phone re start over and over again, that's so sad because the i phone looks like new😶",phone start that sad phone look like new,phone start that sad phone looks like new,0.9980660080909729,NEGATIVE
12,Highly Recommend,"I received my phone a day early and it came exactly as I imagined. I was a little nervous buying a refurbished phone on the internet, but I truly have no complaints. The phone came in perfect, like new condition and has been working great with my carrier and in general.Came with a charger and charging block as mentioned in the description. It also came with a screen protector that was already put on the screen! That was an awesome and much appreciated touch. There’s also 60 day warranty and free returns just in case something were to happen.I’m incredibly pleased. Would definitely recommend to anyone!",receiv phone day earli came exactli imagin littl nervou buy refurbish phone internet truli complaint phone came perfect like new condit work great carrier generalcam charg charg block mention descript also came screen protector alreadi put screen awesom much appreci touch there also 60 day warranti free return case someth happen incred plea would definit recommend anyon,received phone day early came exactly imagined little nervous buying refurbished phone internet truly complaints phone came perfect like new condition working great carrier generalcame charge charging block mentioned description also came screen protector already put screen awesome much appreciated touch there also 60 day warranty free returns case something happened incredibly pleased would definitely recommend anyone,0.7965262532234192,NEGATIVE
13,Will not buy amazon Certified renewed Again,"Amazon renewed phone. Was expecting minor cosmetic issue as described, however there was a decent size mark above the volume down button and the volume down button does not function properly. Contacted amazon and the seller and have not gotten this resolved.",amazon renew phone expect minor cosmet issu describ howev decent size mark volum button volum button function properli contract amazon seller gotten resolv,amazon renewed phone expecting minor cosmetic issue described however decent size mark volume button volume button function properly contracted amazon seller gotten resolved,0.9866668581962585,NEGATIVE
14,good price great quality,"been using iphones for a a long time. i needed a new one & saw this online for a good price. i dont have any complaints it works great. camera quality is amazing. it came with a charger, but *did not come with headphones* and it did not come in the classic “iPhone” packaging which didnt bug me but other people might care. i definitely recommend but if you want the headphones id buy them separately.",use phone long time need new one saw onlin good price dont complaint work great camera qualiti amaz came charg come headphon come classic phone pack didn bug peopl might care definit recommend want headphon id buy separ,using phone long time needed new one saw online good price dont complaints works great camera quality amazing came charge come headphones come classic phone packing didn bug people might care definitely recommend want headphones id buy separately,0.9887675642967224,NEGATIVE
15,"Misled,","Very disappointed with this purchase: Was same price as a brand new Apple I-Phone. This phone had 2 deep scratches on screen, did not come with earphones, was not an Apple charging cord, (although it had a sticker saying it was), was not an Apple charger. Also was never able to install I cloud.",disappoint purchas price brand new appl phone phone 2 deep scratch screen come earphon appl charg cord although stick say appl charg also never abl instal cloud,disappointed purchase price brand new apple phone phone 2 deep scratches screen come earphones apple charging cord although stick saying apple charge also never able install cloud,0.9865250587463379,NEGATIVE
16,It is scam. Beware!!!!,"                    The media could not be loaded.
                



 I purchased this iPhone 11 because it said it was unlocked. I have always owned unlocked iphones and never had troubles with them. I live in Guatemala. This iPhone 11 was working for a few days but all of the sudden ""stopped"" recognizing my SIM card. As you can see in the video the issue is not my SIM card because it works in my old and unlocked iPhone 8. Since I am not in the USA I lost almost $600. Beware, don't buy this product. It is a complete scam.",medium could load purchas phone 11 said unlock alway own unlock phone never troubl live guatemala phone 11 work day sudden stop recogn him card see video issu him card work old unlock phone 8 sinc u lost almost 600 bewar dont buy product complet scar,media could loaded purchased phone 11 said unlocked always owned unlocked phone never troubles live guatemala phone 11 working days sudden stopped recognizing him card see video issue him card works old unlocked phone 8 since us lost almost 600 beware dont buy product complete scar,0.9987204074859619,NEGATIVE
